Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1  
 9.40000000e-01   0.00000000e+00   1.00000000e+00  -4.34843710e-03  -1.07019951e-04   2.46170520e+00   5.19866617e+00  
 9.50000000e-01   0.00000000e+00   1.00000000e+00  -5.54136948e-03  -9.88336025e-05   2.44129045e+00   5.18969323e+00  
 9.60000000e-01   0.00000000e+00   1.00000000e+00  -6.36289483e-03  -1.12556579e-04   2.42801170e+00   5.18212720e+00  
 9.70000000e-01   0.00000000e+00   1.00000000e+00  -6.87733364e-03  -1.35018063e-04   2.42293607e+00   5.17306689e+00  
 9.80000000e-01   0.00000000e+00   1.00000000e+00  -7.16226977e-03  -1.51942244e-04   2.42533351e+00   5.17184359e+00  
 9.90000000e-01   0.00000000e+00   1.00000000e+00  -7.42028925e-03  -1.75304713e-04   2.43593990e+00   5.17762826e+00  
 1.00000000e+00   0.00000000e+00   1.00000000e+00  -7.85794112e-03  -2.27418582e-04   2.45016168e+00   5.18419876e+00  
 1.01000000e+00   0.00000000e+00   1.00000000e+00  -8.61961810e-03  -2.36412205e-04   2.46541471e+00   5.18471395e+00  
 1.02000000e+00   0.00000000e+00   1.00000000e+00  -9.65584081e-03  -1.97751415e-04   2.47371380e+00   5.17795609e+00  
 1.03000000e+00   0.00000000e+00   1.00000000e+00  -1.07007283e-02  -1.60978949e-04   2.46893717e+00   5.18425917e+00  
 1.04000000e+00   0.00000000e+00   1.00000000e+00  -1.15749306e-02  -1.47003082e-04   2.45831912e+00   5.18475116e+00  
 1.05000000e+00   0.00000000e+00   1.00000000e+00  -1.22790335e-02  -1.32510352e-04   2.45179851e+00   5.18254090e+00  
 1.06000000e+00   0.00000000e+00   1.00000000e+00  -1.30002533e-02  -9.38743441e-05   2.45622263e+00   5.17521118e+00  
 1.07000000e+00   0.00000000e+00   1.00000000e+00  -1.40178168e-02  -9.63846097e-05   2.46608627e+00   5.17451692e+00  
 1.08000000e+00   0.00000000e+00   1.00000000e+00  -1.52849022e-02  -1.37563768e-04   2.46876502e+00   5.16977459e+00  
